       value	     chindex	     chlabel	        bini	           binlabel	ERPset
     367.188	          67	EPN_massUniv	           1	  negativeLargeDark	vp01
     363.281	          67	EPN_massUniv	           2	  negativeSmallDark	vp01
     296.875	          67	EPN_massUniv	           3	negativeLargeBright	vp01
     320.313	          67	EPN_massUniv	           4	negativeSmallBright	vp01
     335.938	          67	EPN_massUniv	           5	   neutralLargeDark	vp01
     371.094	          67	EPN_massUniv	           6	   neutralSmallDark	vp01
     289.063	          67	EPN_massUniv	           7	 neutralLargeBright	vp01
     320.313	          67	EPN_massUniv	           8	 neutralSmallBright	vp01
     402.344	          67	EPN_massUniv	           1	  negativeLargeDark	vp02
     382.813	          67	EPN_massUniv	           2	  negativeSmallDark	vp02
     382.813	          67	EPN_massUniv	           3	negativeLargeBright	vp02
     281.250	          67	EPN_massUniv	           4	negativeSmallBright	vp02
     402.344	          67	EPN_massUniv	           5	   neutralLargeDark	vp02
     390.625	          67	EPN_massUniv	           6	   neutralSmallDark	vp02
     398.438	          67	EPN_massUniv	           7	 neutralLargeBright	vp02
     375.000	          67	EPN_massUniv	           8	 neutralSmallBright	vp02
     339.844	          67	EPN_massUniv	           1	  negativeLargeDark	vp03
     351.563	          67	EPN_massUniv	           2	  negativeSmallDark	vp03
     390.625	          67	EPN_massUniv	           3	negativeLargeBright	vp03
     347.656	          67	EPN_massUniv	           4	negativeSmallBright	vp03
     359.375	          67	EPN_massUniv	           5	   neutralLargeDark	vp03
     371.094	          67	EPN_massUniv	           6	   neutralSmallDark	vp03
     332.031	          67	EPN_massUniv	           7	 neutralLargeBright	vp03
     359.375	          67	EPN_massUniv	           8	 neutralSmallBright	vp03
     339.844	          67	EPN_massUniv	           1	  negativeLargeDark	vp04
     367.188	          67	EPN_massUniv	           2	  negativeSmallDark	vp04
     378.906	          67	EPN_massUniv	           3	negativeLargeBright	vp04
     367.188	          67	EPN_massUniv	           4	negativeSmallBright	vp04
     343.750	          67	EPN_massUniv	           5	   neutralLargeDark	vp04
     359.375	          67	EPN_massUniv	           6	   neutralSmallDark	vp04
     320.313	          67	EPN_massUniv	           7	 neutralLargeBright	vp04
     285.156	          67	EPN_massUniv	           8	 neutralSmallBright	vp04
     394.531	          67	EPN_massUniv	           1	  negativeLargeDark	vp05
