       value	     chindex	     chlabel	        bini	           binlabel	ERPset
         NaN	          68	LPP_massUniv	           1	  negativeLargeDark	vp01
     453.125	          68	LPP_massUniv	           2	  negativeSmallDark	vp01
     484.375	          68	LPP_massUniv	           3	negativeLargeBright	vp01
         NaN	          68	LPP_massUniv	           4	negativeSmallBright	vp01
         NaN	          68	LPP_massUniv	           5	   neutralLargeDark	vp01
         NaN	          68	LPP_massUniv	           6	   neutralSmallDark	vp01
     488.281	          68	LPP_massUniv	           7	 neutralLargeBright	vp01
         NaN	          68	LPP_massUniv	           8	 neutralSmallBright	vp01
     511.719	          68	LPP_massUniv	           1	  negativeLargeDark	vp02
     531.250	          68	LPP_massUniv	           2	  negativeSmallDark	vp02
     652.344	          68	LPP_massUniv	           3	negativeLargeBright	vp02
         NaN	          68	LPP_massUniv	           4	negativeSmallBright	vp02
     511.719	          68	LPP_massUniv	           5	   neutralLargeDark	vp02
         NaN	          68	LPP_massUniv	           6	   neutralSmallDark	vp02
         NaN	          68	LPP_massUniv	           7	 neutralLargeBright	vp02
         NaN	          68	LPP_massUniv	           8	 neutralSmallBright	vp02
         NaN	          68	LPP_massUniv	           1	  negativeLargeDark	vp03
     402.344	          68	LPP_massUniv	           2	  negativeSmallDark	vp03
     511.719	          68	LPP_massUniv	           3	negativeLargeBright	vp03
         NaN	          68	LPP_massUniv	           4	negativeSmallBright	vp03
         NaN	          68	LPP_massUniv	           5	   neutralLargeDark	vp03
         NaN	          68	LPP_massUniv	           6	   neutralSmallDark	vp03
     402.344	          68	LPP_massUniv	           7	 neutralLargeBright	vp03
     410.156	          68	LPP_massUniv	           8	 neutralSmallBright	vp03
     511.719	          68	LPP_massUniv	           1	  negativeLargeDark	vp04
     550.781	          68	LPP_massUniv	           2	  negativeSmallDark	vp04
     531.250	          68	LPP_massUniv	           3	negativeLargeBright	vp04
     597.656	          68	LPP_massUniv	           4	negativeSmallBright	vp04
     492.188	          68	LPP_massUniv	           5	   neutralLargeDark	vp04
     546.875	          68	LPP_massUniv	           6	   neutralSmallDark	vp04
     519.531	          68	LPP_massUniv	           7	 neutralLargeBright	vp04
     519.531	          68	LPP_massUniv	           8	 neutralSmallBright	vp04
     433.594	          68	LPP_massUniv	           1	  negativeLargeDark	vp05
     433.594	          68	LPP_massUniv	           2	  negativeSmallDark	vp05
     468.750	          68	LPP_massUniv	           3	negativeLargeBright	vp05
         NaN	          68	LPP_massUniv	           4	negativeSmallBright	vp05
     417.969	          68	LPP_massUniv	           5	   neutralLargeDark	vp05
     429.688	          68	LPP_massUniv	           6	   neutralSmallDark	vp05
         NaN	          68	LPP_massUniv	           7	 neutralLargeBright	vp05
         NaN	          68	LPP_massUniv	           8	 neutralSmallBright	vp05
     453.125	          68	LPP_massUniv	           1	  negativeLargeDark	vp06
     476.563	          68	LPP_massUniv	           2	  negativeSmallDark	vp06
         NaN	          68	LPP_massUniv	           3	negativeLargeBright	vp06
         NaN	          68	LPP_massUniv	           4	negativeSmallBright	vp06
         NaN	          68	LPP_massUniv	           5	   neutralLargeDark	vp06
     511.719	          68	LPP_massUniv	           6	   neutralSmallDark	vp06
         NaN	          68	LPP_massUniv	           7	 neutralLargeBright	vp06
         NaN	          68	LPP_massUniv	           8	 neutralSmallBright	vp06
     433.594	          68	LPP_massUniv	           1	  negativeLargeDark	vp07
     441.406	          68	LPP_massUniv	           2	  negativeSmallDark	vp07
         NaN	          68	LPP_massUniv	           3	negativeLargeBright	vp07
         NaN	          68	LPP_massUniv	           4	negativeSmallBright	vp07
     425.781	          68	LPP_massUniv	           5	   neutralLargeDark	vp07
     523.438	          68	LPP_massUniv	           6	   neutralSmallDark	vp07
         NaN	          68	LPP_massUniv	           7	 neutralLargeBright	vp07
         NaN	          68	LPP_massUniv	           8	 neutralSmallBright	vp07
     457.031	          68	LPP_massUniv	           1	  negativeLargeDark	vp08
     425.781	          68	LPP_massUniv	           2	  negativeSmallDark	vp08
     476.563	          68	LPP_massUniv	           3	negativeLargeBright	vp08
     402.344	          68	LPP_massUniv	           4	negativeSmallBright	vp08
     574.219	          68	LPP_massUniv	           5	   neutralLargeDark	vp08
     558.594	          68	LPP_massUniv	           6	   neutralSmallDark	vp08
     410.156	          68	LPP_massUniv	           7	 neutralLargeBright	vp08
     609.375	          68	LPP_massUniv	           8	 neutralSmallBright	vp08
         NaN	          68	LPP_massUniv	           1	  negativeLargeDark	vp09
         NaN	          68	LPP_massUniv	           2	  negativeSmallDark	vp09
     414.063	          68	LPP_massUniv	           3	negativeLargeBright	vp09
         NaN	          68	LPP_massUniv	           4	negativeSmallBright	vp09
     519.531	          68	LPP_massUniv	           5	   neutralLargeDark	vp09
         NaN	          68	LPP_massUniv	           6	   neutralSmallDark	vp09
         NaN	          68	LPP_massUniv	           7	 neutralLargeBright	vp09
         NaN	          68	LPP_massUniv	           8	 neutralSmallBright	vp09
         NaN	          68	LPP_massUniv	           1	  negativeLargeDark	vp10
         NaN	          68	LPP_massUniv	           2	  negativeSmallDark	vp10
         NaN	          68	LPP_massUniv	           3	negativeLargeBright	vp10
     417.969	          68	LPP_massUniv	           4	negativeSmallBright	vp10
         NaN	          68	LPP_massUniv	           5	   neutralLargeDark	vp10
         NaN	          68	LPP_massUniv	           6	   neutralSmallDark	vp10
     453.125	          68	LPP_massUniv	           7	 neutralLargeBright	vp10
     437.500	          68	LPP_massUniv	           8	 neutralSmallBright	vp10
     445.313	          68	LPP_massUniv	           1	  negativeLargeDark	vp11
     460.938	          68	LPP_massUniv	           2	  negativeSmallDark	vp11
     484.375	          68	LPP_massUniv	           3	negativeLargeBright	vp11
     554.688	          68	LPP_massUniv	           4	negativeSmallBright	vp11
     472.656	          68	LPP_massUniv	           5	   neutralLargeDark	vp11
     484.375	          68	LPP_massUniv	           6	   neutralSmallDark	vp11
     570.313	          68	LPP_massUniv	           7	 neutralLargeBright	vp11
     554.688	          68	LPP_massUniv	           8	 neutralSmallBright	vp11
         NaN	          68	LPP_massUniv	           1	  negativeLargeDark	vp12
     437.500	          68	LPP_massUniv	           2	  negativeSmallDark	vp12
