       value	     chindex	     chlabel	        bini	           binlabel	ERPset
       1.098	          68	LPP_massUniv	           1	  negativeLargeDark	vp01
       0.962	          68	LPP_massUniv	           2	  negativeSmallDark	vp01
       0.457	          68	LPP_massUniv	           3	negativeLargeBright	vp01
       1.195	          68	LPP_massUniv	           4	negativeSmallBright	vp01
       0.863	          68	LPP_massUniv	           5	   neutralLargeDark	vp01
       0.666	          68	LPP_massUniv	           6	   neutralSmallDark	vp01
       1.068	          68	LPP_massUniv	           7	 neutralLargeBright	vp01
       1.282	          68	LPP_massUniv	           8	 neutralSmallBright	vp01
       0.292	          68	LPP_massUniv	           1	  negativeLargeDark	vp02
       0.875	          68	LPP_massUniv	           2	  negativeSmallDark	vp02
       0.065	          68	LPP_massUniv	           3	negativeLargeBright	vp02
       0.404	          68	LPP_massUniv	           4	negativeSmallBright	vp02
      -0.266	          68	LPP_massUniv	           5	   neutralLargeDark	vp02
       0.911	          68	LPP_massUniv	           6	   neutralSmallDark	vp02
       0.347	          68	LPP_massUniv	           7	 neutralLargeBright	vp02
       0.519	          68	LPP_massUniv	           8	 neutralSmallBright	vp02
       1.563	          68	LPP_massUniv	           1	  negativeLargeDark	vp03
       2.082	          68	LPP_massUniv	           2	  negativeSmallDark	vp03
       1.422	          68	LPP_massUniv	           3	negativeLargeBright	vp03
       1.489	          68	LPP_massUniv	           4	negativeSmallBright	vp03
       1.401	          68	LPP_massUniv	           5	   neutralLargeDark	vp03
       1.457	          68	LPP_massUniv	           6	   neutralSmallDark	vp03
       2.162	          68	LPP_massUniv	           7	 neutralLargeBright	vp03
       1.534	          68	LPP_massUniv	           8	 neutralSmallBright	vp03
       0.116	          68	LPP_massUniv	           1	  negativeLargeDark	vp04
       0.176	          68	LPP_massUniv	           2	  negativeSmallDark	vp04
       0.306	          68	LPP_massUniv	           3	negativeLargeBright	vp04
       0.066	          68	LPP_massUniv	           4	negativeSmallBright	vp04
       0.401	          68	LPP_massUniv	           5	   neutralLargeDark	vp04
       0.245	          68	LPP_massUniv	           6	   neutralSmallDark	vp04
       0.409	          68	LPP_massUniv	           7	 neutralLargeBright	vp04
       0.459	          68	LPP_massUniv	           8	 neutralSmallBright	vp04
