       value	     chindex	     chlabel	        bini	           binlabel	ERPset
      -2.485	          66	 N1_massUniv	           1	  negativeLargeDark	vp01
      -2.023	          66	 N1_massUniv	           2	  negativeSmallDark	vp01
      -1.857	          66	 N1_massUniv	           3	negativeLargeBright	vp01
      -0.264	          66	 N1_massUniv	           4	negativeSmallBright	vp01
      -2.448	          66	 N1_massUniv	           5	   neutralLargeDark	vp01
      -2.061	          66	 N1_massUniv	           6	   neutralSmallDark	vp01
      -1.909	          66	 N1_massUniv	           7	 neutralLargeBright	vp01
      -0.703	          66	 N1_massUniv	           8	 neutralSmallBright	vp01
      -2.991	          66	 N1_massUniv	           1	  negativeLargeDark	vp02
      -1.378	          66	 N1_massUniv	           2	  negativeSmallDark	vp02
      -1.621	          66	 N1_massUniv	           3	negativeLargeBright	vp02
      -0.901	          66	 N1_massUniv	           4	negativeSmallBright	vp02
      -2.894	          66	 N1_massUniv	           5	   neutralLargeDark	vp02
      -1.601	          66	 N1_massUniv	           6	   neutralSmallDark	vp02
      -2.595	          66	 N1_massUniv	           7	 neutralLargeBright	vp02
      -0.994	          66	 N1_massUniv	           8	 neutralSmallBright	vp02
      -5.477	          66	 N1_massUniv	           1	  negativeLargeDark	vp03
      -3.519	          66	 N1_massUniv	           2	  negativeSmallDark	vp03
      -4.018	          66	 N1_massUniv	           3	negativeLargeBright	vp03
      -0.274	          66	 N1_massUniv	           4	negativeSmallBright	vp03
      -5.870	          66	 N1_massUniv	           5	   neutralLargeDark	vp03
      -4.165	          66	 N1_massUniv	           6	   neutralSmallDark	vp03
      -3.976	          66	 N1_massUniv	           7	 neutralLargeBright	vp03
      -3.981	          66	 N1_massUniv	           8	 neutralSmallBright	vp03
      -3.900	          66	 N1_massUniv	           1	  negativeLargeDark	vp04
      -3.794	          66	 N1_massUniv	           2	  negativeSmallDark	vp04
      -2.865	          66	 N1_massUniv	           3	negativeLargeBright	vp04
      -1.009	          66	 N1_massUniv	           4	negativeSmallBright	vp04
      -4.302	          66	 N1_massUniv	           5	   neutralLargeDark	vp04
      -4.818	          66	 N1_massUniv	           6	   neutralSmallDark	vp04
      -3.521	          66	 N1_massUniv	           7	 neutralLargeBright	vp04
      -1.163	          66	 N1_massUniv	           8	 neutralSmallBright	vp04
      -1.500	          66	 N1_massUniv	           1	  negativeLargeDark	vp05
      -1.900	          66	 N1_massUniv	           2	  negativeSmallDark	vp05
      -0.903	          66	 N1_massUniv	           3	negativeLargeBright	vp05
      -0.199	          66	 N1_massUniv	           4	negativeSmallBright	vp05
      -1.729	          66	 N1_massUniv	           5	   neutralLargeDark	vp05
      -2.473	          66	 N1_massUniv	           6	   neutralSmallDark	vp05
      -1.119	          66	 N1_massUniv	           7	 neutralLargeBright	vp05
       0.029	          66	 N1_massUniv	           8	 neutralSmallBright	vp05
      -2.618	          66	 N1_massUniv	           1	  negativeLargeDark	vp06
      -2.876	          66	 N1_massUniv	           2	  negativeSmallDark	vp06
      -2.111	          66	 N1_massUniv	           3	negativeLargeBright	vp06
      -0.244	          66	 N1_massUniv	           4	negativeSmallBright	vp06
      -3.066	          66	 N1_massUniv	           5	   neutralLargeDark	vp06
      -2.758	          66	 N1_massUniv	           6	   neutralSmallDark	vp06
      -1.823	          66	 N1_massUniv	           7	 neutralLargeBright	vp06
      -0.013	          66	 N1_massUniv	           8	 neutralSmallBright	vp06
      -4.078	          66	 N1_massUniv	           1	  negativeLargeDark	vp07
      -2.977	          66	 N1_massUniv	           2	  negativeSmallDark	vp07
      -3.014	          66	 N1_massUniv	           3	negativeLargeBright	vp07
      -1.247	          66	 N1_massUniv	           4	negativeSmallBright	vp07
      -4.112	          66	 N1_massUniv	           5	   neutralLargeDark	vp07
      -3.647	          66	 N1_massUniv	           6	   neutralSmallDark	vp07
      -3.604	          66	 N1_massUniv	           7	 neutralLargeBright	vp07
      -1.363	          66	 N1_massUniv	           8	 neutralSmallBright	vp07
      -0.839	          66	 N1_massUniv	           1	  negativeLargeDark	vp08
      -0.760	          66	 N1_massUniv	           2	  negativeSmallDark	vp08
       0.037	          66	 N1_massUniv	           3	negativeLargeBright	vp08
      -0.485	          66	 N1_massUniv	           4	negativeSmallBright	vp08
      -0.988	          66	 N1_massUniv	           5	   neutralLargeDark	vp08
      -0.987	          66	 N1_massUniv	           6	   neutralSmallDark	vp08
      -0.583	          66	 N1_massUniv	           7	 neutralLargeBright	vp08
      -0.426	          66	 N1_massUniv	           8	 neutralSmallBright	vp08
      -1.688	          66	 N1_massUniv	           1	  negativeLargeDark	vp09
      -1.604	          66	 N1_massUniv	           2	  negativeSmallDark	vp09
      -2.229	          66	 N1_massUniv	           3	negativeLargeBright	vp09
      -0.719	          66	 N1_massUniv	           4	negativeSmallBright	vp09
      -2.224	          66	 N1_massUniv	           5	   neutralLargeDark	vp09
      -1.845	          66	 N1_massUniv	           6	   neutralSmallDark	vp09
      -0.831	          66	 N1_massUniv	           7	 neutralLargeBright	vp09
      -0.897	          66	 N1_massUniv	           8	 neutralSmallBright	vp09
      -1.282	          66	 N1_massUniv	           1	  negativeLargeDark	vp10
      -1.212	          66	 N1_massUniv	           2	  negativeSmallDark	vp10
      -1.937	          66	 N1_massUniv	           3	negativeLargeBright	vp10
      -1.275	          66	 N1_massUniv	           4	negativeSmallBright	vp10
      -0.663	          66	 N1_massUniv	           5	   neutralLargeDark	vp10
      -1.466	          66	 N1_massUniv	           6	   neutralSmallDark	vp10
      -1.468	          66	 N1_massUniv	           7	 neutralLargeBright	vp10
      -0.482	          66	 N1_massUniv	           8	 neutralSmallBright	vp10
      -3.216	          66	 N1_massUniv	           1	  negativeLargeDark	vp11
      -2.339	          66	 N1_massUniv	           2	  negativeSmallDark	vp11
      -1.480	          66	 N1_massUniv	           3	negativeLargeBright	vp11
      -0.669	          66	 N1_massUniv	           4	negativeSmallBright	vp11
