       value	     chindex	     chlabel	        bini	           binlabel	ERPset
     199.219	          70	          N1	           1	  negativeLargeDark	vp01
     210.938	          70	          N1	           2	  negativeSmallDark	vp01
     214.844	          70	          N1	           3	negativeLargeBright	vp01
     218.750	          70	          N1	           4	negativeSmallBright	vp01
     199.219	          70	          N1	           5	   neutralLargeDark	vp01
     214.844	          70	          N1	           6	   neutralSmallDark	vp01
     214.844	          70	          N1	           7	 neutralLargeBright	vp01
     250.000	          70	          N1	           8	 neutralSmallBright	vp01
     160.156	          70	          N1	           1	  negativeLargeDark	vp02
     171.875	          70	          N1	           2	  negativeSmallDark	vp02
     187.500	          70	          N1	           3	negativeLargeBright	vp02
     226.563	          70	          N1	           4	negativeSmallBright	vp02
     160.156	          70	          N1	           5	   neutralLargeDark	vp02
     171.875	          70	          N1	           6	   neutralSmallDark	vp02
     183.594	          70	          N1	           7	 neutralLargeBright	vp02
     238.281	          70	          N1	           8	 neutralSmallBright	vp02
     207.031	          70	          N1	           1	  negativeLargeDark	vp03
     222.656	          70	          N1	           2	  negativeSmallDark	vp03
     234.375	          70	          N1	           3	negativeLargeBright	vp03
     191.406	          70	          N1	           4	negativeSmallBright	vp03
     210.938	          70	          N1	           5	   neutralLargeDark	vp03
     214.844	          70	          N1	           6	   neutralSmallDark	vp03
     234.375	          70	          N1	           7	 neutralLargeBright	vp03
     261.719	          70	          N1	           8	 neutralSmallBright	vp03
     152.344	          70	          N1	           1	  negativeLargeDark	vp04
     164.063	          70	          N1	           2	  negativeSmallDark	vp04
     199.219	          70	          N1	           3	negativeLargeBright	vp04
     230.469	          70	          N1	           4	negativeSmallBright	vp04
     156.250	          70	          N1	           5	   neutralLargeDark	vp04
     167.969	          70	          N1	           6	   neutralSmallDark	vp04
     191.406	          70	          N1	           7	 neutralLargeBright	vp04
     160.156	          70	          N1	           8	 neutralSmallBright	vp04
     152.344	          70	          N1	           1	  negativeLargeDark	vp05
     148.438	          70	          N1	           2	  negativeSmallDark	vp05
     175.781	          70	          N1	           3	negativeLargeBright	vp05
     234.375	          70	          N1	           4	negativeSmallBright	vp05
     152.344	          70	          N1	           5	   neutralLargeDark	vp05
     167.969	          70	          N1	           6	   neutralSmallDark	vp05
     214.844	          70	          N1	           7	 neutralLargeBright	vp05
     214.844	          70	          N1	           8	 neutralSmallBright	vp05
     207.031	          70	          N1	           1	  negativeLargeDark	vp06
     218.750	          70	          N1	           2	  negativeSmallDark	vp06
     238.281	          70	          N1	           3	negativeLargeBright	vp06
     214.844	          70	          N1	           4	negativeSmallBright	vp06
     207.031	          70	          N1	           5	   neutralLargeDark	vp06
     218.750	          70	          N1	           6	   neutralSmallDark	vp06
     230.469	          70	          N1	           7	 neutralLargeBright	vp06
     214.844	          70	          N1	           8	 neutralSmallBright	vp06
     164.063	          70	          N1	           1	  negativeLargeDark	vp07
     171.875	          70	          N1	           2	  negativeSmallDark	vp07
     191.406	          70	          N1	           3	negativeLargeBright	vp07
     242.188	          70	          N1	           4	negativeSmallBright	vp07
     164.063	          70	          N1	           5	   neutralLargeDark	vp07
     167.969	          70	          N1	           6	   neutralSmallDark	vp07
     199.219	          70	          N1	           7	 neutralLargeBright	vp07
     261.719	          70	          N1	           8	 neutralSmallBright	vp07
     253.906	          70	          N1	           1	  negativeLargeDark	vp08
     218.750	          70	          N1	           2	  negativeSmallDark	vp08
     214.844	          70	          N1	           3	negativeLargeBright	vp08
     179.688	          70	          N1	           4	negativeSmallBright	vp08
     195.313	          70	          N1	           5	   neutralLargeDark	vp08
     207.031	          70	          N1	           6	   neutralSmallDark	vp08
     187.500	          70	          N1	           7	 neutralLargeBright	vp08
     195.313	          70	          N1	           8	 neutralSmallBright	vp08
     218.750	          70	          N1	           1	  negativeLargeDark	vp09
     226.563	          70	          N1	           2	  negativeSmallDark	vp09
     242.188	          70	          N1	           3	negativeLargeBright	vp09
     218.750	          70	          N1	           4	negativeSmallBright	vp09
     218.750	          70	          N1	           5	   neutralLargeDark	vp09
     230.469	          70	          N1	           6	   neutralSmallDark	vp09
     187.500	          70	          N1	           7	 neutralLargeBright	vp09
     218.750	          70	          N1	           8	 neutralSmallBright	vp09
     164.063	          70	          N1	           1	  negativeLargeDark	vp10
     175.781	          70	          N1	           2	  negativeSmallDark	vp10
     222.656	          70	          N1	           3	negativeLargeBright	vp10
     191.406	          70	          N1	           4	negativeSmallBright	vp10
     164.063	          70	          N1	           5	   neutralLargeDark	vp10
     171.875	          70	          N1	           6	   neutralSmallDark	vp10
     199.219	          70	          N1	           7	 neutralLargeBright	vp10
     195.313	          70	          N1	           8	 neutralSmallBright	vp10
     207.031	          70	          N1	           1	  negativeLargeDark	vp11
     222.656	          70	          N1	           2	  negativeSmallDark	vp11
     167.969	          70	          N1	           3	negativeLargeBright	vp11
     179.688	          70	          N1	           4	negativeSmallBright	vp11
     207.031	          70	          N1	           5	   neutralLargeDark	vp11
     218.750	          70	          N1	           6	   neutralSmallDark	vp11
     171.875	          70	          N1	           7	 neutralLargeBright	vp11
     175.781	          70	          N1	           8	 neutralSmallBright	vp11
     156.250	          70	          N1	           1	  negativeLargeDark	vp12
     160.156	          70	          N1	           2	  negativeSmallDark	vp12
     171.875	          70	          N1	           3	negativeLargeBright	vp12
     257.813	          70	          N1	           4	negativeSmallBright	vp12
     152.344	          70	          N1	           5	   neutralLargeDark	vp12
     160.156	          70	          N1	           6	   neutralSmallDark	vp12
     167.969	          70	          N1	           7	 neutralLargeBright	vp12
     253.906	          70	          N1	           8	 neutralSmallBright	vp12
     226.563	          70	          N1	           1	  negativeLargeDark	vp13
     218.750	          70	          N1	           2	  negativeSmallDark	vp13
