       value	     chindex	     chlabel	        bini	           binlabel	ERPset
       2.832	          65	 P1_massUniv	           1	  negativeLargeDark	vp01
       3.904	          65	 P1_massUniv	           2	  negativeSmallDark	vp01
       1.368	          65	 P1_massUniv	           3	negativeLargeBright	vp01
       1.511	          65	 P1_massUniv	           4	negativeSmallBright	vp01
       1.791	          65	 P1_massUniv	           5	   neutralLargeDark	vp01
       2.613	          65	 P1_massUniv	           6	   neutralSmallDark	vp01
       1.915	          65	 P1_massUniv	           7	 neutralLargeBright	vp01
       0.633	          65	 P1_massUniv	           8	 neutralSmallBright	vp01
       3.444	          65	 P1_massUniv	           1	  negativeLargeDark	vp02
       2.146	          65	 P1_massUniv	           2	  negativeSmallDark	vp02
       2.956	          65	 P1_massUniv	           3	negativeLargeBright	vp02
       1.220	          65	 P1_massUniv	           4	negativeSmallBright	vp02
       3.743	          65	 P1_massUniv	           5	   neutralLargeDark	vp02
       2.950	          65	 P1_massUniv	           6	   neutralSmallDark	vp02
       2.866	          65	 P1_massUniv	           7	 neutralLargeBright	vp02
       0.560	          65	 P1_massUniv	           8	 neutralSmallBright	vp02
       6.183	          65	 P1_massUniv	           1	  negativeLargeDark	vp03
       5.832	          65	 P1_massUniv	           2	  negativeSmallDark	vp03
       7.007	          65	 P1_massUniv	           3	negativeLargeBright	vp03
       4.577	          65	 P1_massUniv	           4	negativeSmallBright	vp03
       6.101	          65	 P1_massUniv	           5	   neutralLargeDark	vp03
       4.462	          65	 P1_massUniv	           6	   neutralSmallDark	vp03
       7.272	          65	 P1_massUniv	           7	 neutralLargeBright	vp03
       4.768	          65	 P1_massUniv	           8	 neutralSmallBright	vp03
       2.212	          65	 P1_massUniv	           1	  negativeLargeDark	vp04
       1.498	          65	 P1_massUniv	           2	  negativeSmallDark	vp04
       1.775	          65	 P1_massUniv	           3	negativeLargeBright	vp04
       0.199	          65	 P1_massUniv	           4	negativeSmallBright	vp04
       2.617	          65	 P1_massUniv	           5	   neutralLargeDark	vp04
       1.366	          65	 P1_massUniv	           6	   neutralSmallDark	vp04
       1.670	          65	 P1_massUniv	           7	 neutralLargeBright	vp04
       1.289	          65	 P1_massUniv	           8	 neutralSmallBright	vp04
       6.491	          65	 P1_massUniv	           1	  negativeLargeDark	vp05
       6.735	          65	 P1_massUniv	           2	  negativeSmallDark	vp05
       4.257	          65	 P1_massUniv	           3	negativeLargeBright	vp05
       3.920	          65	 P1_massUniv	           4	negativeSmallBright	vp05
       6.687	          65	 P1_massUniv	           5	   neutralLargeDark	vp05
