participant,bin,P1,N1,EPN,LPP
vp01,2,1.2822,-4.0137,-0.98452,-0.7648
vp01,8,1.4353,-2.7876,-0.072417,-0.64809
vp01,7,3.0193,5.9394,-0.011678,-0.26611
vp01,5,3.5009,-1.0942,0.67435,2.6157
vp01,3,1.9482,1.7862,3.7178,3.6488
vp01,1,1.5078,-2.3914,0.99615,2.0849
vp01,3,-5.8846,-4.9776,-2.8626,0.55166
vp01,4,6.0891,1.1494,3.6758,0.14996
vp01,3,-1.8462,-7.7393,5.1342,1.9625
vp01,1,2.231,-3.1987,-0.0589,0.2306
vp01,5,1.6577,-1.3269,1.1801,1.4904
vp01,8,-6.0685,-1.3097,-0.40793,1.4666
vp01,1,1.8431,-2.5774,1.7083,1.9693
vp01,4,1.0139,-3.837,5.7791,2.4351
vp01,8,-9.2863,-2.3645,-1.0857,-0.66944
vp01,4,-3.505,-3.694,-1.5565,0.80008
vp01,6,-1.4054,-0.47127,0.168,-1.5409
vp01,6,-1.705,-2.4372,0.94958,1.0612
vp01,2,-1.9608,-1.734,-0.21483,-0.0054481
vp01,4,-4.7501,-2.2134,-2.5851,-0.38659
vp01,8,4.0787,5.5531,1.8209,-0.68592
vp01,5,0.48571,-7.4813,-2.3526,-0.94509
vp01,5,0.72374,-3.5469,0.41411,-1.3558
vp01,1,0.29296,-2.838,0.59292,0.66426
vp01,6,0.67595,2.567,2.1049,2.9726
vp01,1,0.95576,-2.744,0.33392,1.6718
vp01,1,2.4716,-0.16956,-1.8318,-0.63499
vp01,1,-5.6736,-6.7305,-0.42806,-0.40616
vp01,3,-0.68463,-2.5059,-0.99167,-0.19727
vp01,6,3.5549,4.5227,4.3735,2.423
vp01,6,5.1081,-2.2949,3.3628,3.51
vp01,8,1.096,2.4346,1.9254,2.5782
vp01,1,5.3417,-0.48746,5.7476,2.7675
vp01,3,1.0774,-3.0284,-3.6877,-2.7714
vp01,1,2.4561,2.162,5.4815,1.2335
vp01,7,-1.1735,-0.1609,4.1869,2.9148
vp01,5,-4.2907,0.23183,0.9361,0.62145
vp01,5,-4.7157,-5.5528,-2.8899,-3.5889
vp01,7,-0.61516,-1.4357,-2.0362,-0.56192
vp01,8,-4.3173,-3.0324,-5.4508,1.8484
vp01,7,5.0479,-1.9566,1.3675,0.98629
vp01,7,-0.19798,-1.56,2.4099,1.8722
vp01,5,4.805,2.2521,0.40792,1.0969
vp01,8,3.5916,4.6762,1.6439,0.95495
vp01,1,2.2426,-2.8297,3.5185,1.1519
vp01,7,0.91299,-1.7985,0.4581,0.22854
vp01,5,4.3,1.0142,-0.55331,0.69008
vp01,7,-1.3206,0.034477,-4.0932,1.1213
vp01,4,-0.31232,-0.23174,-2.3234,-0.65155
vp01,5,3.0309,2.4639,1.2895,1.3498
vp01,3,-1.5546,-2.651,1.9835,1.2757
vp01,2,7.7876,4.1788,6.2195,2.6886
vp01,1,-2.6329,1.3482,-0.072069,0.7003
vp01,2,-2.2128,-1.0217,2.7697,0.30111
vp01,6,3.9988,-3.1699,0.77465,0.81581
vp01,5,-2.0671,0.17282,1.6876,-1.6377
vp01,5,-1.0224,4.5206,3.4724,2.3119
vp01,7,-4.37,-3.0776,-2.7833,-2.5022
vp01,3,-1.8777,1.6083,0.20016,0.36982
vp01,7,1.7265,-0.96328,0.12456,1.0799
vp01,2,-0.33972,-3.4914,3.9466,2.0749
vp01,1,2.7848,-3.4671,7.2334,2.5425
vp01,5,-3.0755,-4.6899,-1.9413,-2.2648
vp01,5,-1.4041,-2.5501,-2.1406,-1.573
vp01,4,-1.04,-1.8634,-0.5819,-2.4624
vp01,8,-4.918,0.92906,-0.21765,-1.6476
vp01,5,1.8152,2.6147,1.8853,2.1856
vp01,1,0.40565,-1.709,3.1449,5.0957
vp01,3,4.3593,10.1948,-0.026968,0.020639
vp01,7,-5.1973,-4.1319,-2.2883,-0.88435
vp01,4,-0.33679,1.3799,1.1037,0.54676
vp01,7,0.77525,-4.2656,-3.6305,-3.1102
vp01,4,3.7942,5.1192,-4.1639,-1.2188
vp01,3,2.0388,-1.9552,-1.4112,0.65751
vp01,3,0.76672,5.8895,-1.2499,0.93056
vp01,2,4.8885,3.8485,6.7592,3.9858
