participant,bin,P1,N1,EPN,LPP
vp01,2,1.2822,-3.9437,-0.98452,-0.7648
vp01,8,1.4353,-2.8399,-0.072417,-0.64809
vp01,7,3.0193,5.843,-0.011678,-0.26611
vp01,5,3.5009,-0.79315,0.67435,2.6157
vp01,3,1.9482,1.8667,3.7178,3.6488
vp01,1,1.5078,-2.4101,0.99615,2.0849
vp01,3,-5.8846,-4.6592,-2.8626,0.55166
vp01,4,6.0891,1.4115,3.6758,0.14996
vp01,3,-1.8462,-7.6163,5.1342,1.9625
vp01,1,2.231,-3.1235,-0.0589,0.2306
vp01,5,1.6577,-1.1178,1.1801,1.4904
vp01,8,-6.0685,-1.3478,-0.40793,1.4666
vp01,1,1.8431,-2.7276,1.7083,1.9693
vp01,4,1.0139,-3.6432,5.7791,2.4351
vp01,8,-9.2863,-2.4946,-1.0857,-0.66944
vp01,4,-3.505,-3.5985,-1.5565,0.80008
vp01,6,-1.4054,-0.59763,0.168,-1.5409
vp01,6,-1.705,-2.3215,0.94958,1.0612
vp01,2,-1.9608,-1.3386,-0.21483,-0.0054481
vp01,4,-4.7501,-2.246,-2.5851,-0.38659
vp01,8,4.0787,5.5283,1.8209,-0.68592
vp01,5,0.48571,-7.506,-2.3526,-0.94509
vp01,5,0.72374,-3.584,0.41411,-1.3558
vp01,1,0.29296,-2.8691,0.59292,0.66426
vp01,6,0.67595,2.4345,2.1049,2.9726
vp01,1,0.95576,-2.9267,0.33392,1.6718
vp01,1,2.4716,-0.15485,-1.8318,-0.63499
vp01,1,-5.6736,-6.5209,-0.42806,-0.40616
vp01,3,-0.68463,-2.4973,-0.99167,-0.19727
vp01,6,3.5549,4.7983,4.3735,2.423
vp01,6,5.1081,-2.2902,3.3628,3.51
vp01,8,1.096,2.4976,1.9254,2.5782
vp01,1,5.3417,-0.22666,5.7476,2.7675
vp01,3,1.0774,-2.8939,-3.6877,-2.7714
vp01,1,2.4561,2.2046,5.4815,1.2335
vp01,7,-1.1735,-0.23437,4.1869,2.9148
vp01,5,-4.2907,0.25893,0.9361,0.62145
vp01,5,-4.7157,-5.7253,-2.8899,-3.5889
vp01,7,-0.61516,-1.4109,-2.0362,-0.56192
vp01,8,-4.3173,-3.1694,-5.4508,1.8484
vp01,7,5.0479,-1.7383,1.3675,0.98629
vp01,7,-0.19798,-1.3185,2.4099,1.8722
vp01,5,4.805,2.2659,0.40792,1.0969
vp01,8,3.5916,4.2902,1.6439,0.95495
vp01,1,2.2426,-2.8589,3.5185,1.1519
vp01,7,0.91299,-1.8404,0.4581,0.22854
vp01,5,4.3,1.2661,-0.55331,0.69008
vp01,7,-1.3206,0.035597,-4.0932,1.1213
vp01,4,-0.31232,-0.20827,-2.3234,-0.65155
vp01,5,3.0309,2.6178,1.2895,1.3498
vp01,3,-1.5546,-2.4751,1.9835,1.2757
vp01,2,7.7876,4.4015,6.2195,2.6886
vp01,1,-2.6329,1.3536,-0.072069,0.7003
vp01,2,-2.2128,-1.0932,2.7697,0.30111
vp01,6,3.9988,-3.1832,0.77465,0.81581
vp01,5,-2.0671,0.23971,1.6876,-1.6377
vp01,5,-1.0224,4.6392,3.4724,2.3119
vp01,7,-4.37,-3.0245,-2.7833,-2.5022
vp01,3,-1.8777,1.2929,0.20016,0.36982
vp01,7,1.7265,-1.1822,0.12456,1.0799
vp01,2,-0.33972,-3.563,3.9466,2.0749
vp01,1,2.7848,-3.4163,7.2334,2.5425
vp01,5,-3.0755,-4.3705,-1.9413,-2.2648
vp01,5,-1.4041,-2.6509,-2.1406,-1.573
vp01,4,-1.04,-1.8452,-0.5819,-2.4624
vp01,8,-4.918,0.76064,-0.21765,-1.6476
vp01,5,1.8152,2.6723,1.8853,2.1856
vp01,1,0.40565,-1.8204,3.1449,5.0957
vp01,3,4.3593,9.9154,-0.026968,0.020639
vp01,7,-5.1973,-4.0312,-2.2883,-0.88435
vp01,4,-0.33679,1.72,1.1037,0.54676
vp01,7,0.77525,-4.1226,-3.6305,-3.1102
vp01,4,3.7942,5.0394,-4.1639,-1.2188
vp01,3,2.0388,-2.0597,-1.4112,0.65751
vp01,3,0.76672,5.8626,-1.2499,0.93056
vp01,2,4.8885,3.683,6.7592,3.9858
vp01,7,-1.4478,-0.56812,0.5052,1.0062
vp01,3,-4.0995,-4.0302,-1.9573,0.26775
vp01,7,-0.14223,5.6036,-1.225,2.6391
vp01,7,2.5719,0.84531,-0.21722,1.2704
vp01,3,-2.9876,-1.2073,1.978,0.92217
vp01,8,-4.2933,1.1869,-4.5715,1.8027
vp01,8,-4.598,-1.5751,-4.5548,-0.33194
vp01,4,3.8362,0.27705,4.888,4.8945
vp01,1,3.9814,4.3069,0.98463,-0.27352
vp01,3,-0.99748,-2.4182,-0.53946,-2.332
vp01,7,9.458,3.614,8.4619,5.9585
vp01,7,1.854,-3.7526,-1.4518,0.03405
vp01,7,0.31805,1.9578,-0.86486,0.503
vp01,6,2.9599,0.44472,1.7971,1.6285
vp01,2,5.2055,1.4821,7.1803,2.6141
vp01,4,-1.2942,3.3055,0.0047724,1.9148
vp01,2,3.3349,-3.8754,4.662,7.2412
vp01,2,1.7582,-0.1383,3.648,1.6338
vp01,8,0.44338,0.85392,-0.7536,1.1165
vp01,5,4.9601,-1.8092,1.9801,-0.45336
vp01,8,-3.7442,-0.81949,0.62721,1.387
vp01,8,6.1821,3.2988,2.9887,3.124
vp01,3,-6.069,-5.7616,9.8023,4.6576
