participant,bin,P1,N1,EPN,LPP
vp01,2,0.88536,-3.4558,-4.4093,-0.85079
vp01,8,0.60865,-2.1906,-1.8485,0.45122
vp01,7,5.4015,5.7637,1.4091,-0.79064
vp01,5,2.8581,-1.2001,-0.28157,2.6102
vp01,3,1.6835,2.2566,1.1216,3.4598
vp01,1,1.7657,-2.1075,0.70543,2.32
vp01,3,-6.2377,-3.5228,-2.3608,-0.74385
vp01,4,5.9113,2.1797,3.4381,0.38621
vp01,3,-0.74711,-5.7922,-1.5588,2.8589
vp01,1,1.6864,-2.0282,-0.39828,-0.039541
vp01,5,1.353,-0.36583,5.0306,0.85797
vp01,8,-4.9025,-1.6557,5.1481,-0.30151
vp01,1,2.137,-2.7802,-1.8339,1.0478
vp01,4,0.58414,-2.7364,3.5943,2.1882
vp01,8,-8.9029,-2.7969,2.1158,-1.4577
vp01,4,-3.2064,-3.2519,-1.609,0.4653
vp01,6,-1.4867,-0.30459,1.3081,-1.2107
vp01,6,-1.9025,-2.3849,0.56446,0.74912
vp01,2,-1.5285,-0.011313,0.46438,-0.37371
vp01,4,-4.078,-2.1061,-3.2643,0.20297
vp01,8,4.7256,5.3147,2.1787,-0.60164
vp01,5,-1.178,-7.4157,-2.8469,-1.2892
vp01,5,0.2432,-3.6952,-0.72736,0.29464
vp01,1,-0.030721,-2.1831,-1.4958,0.67697
vp01,6,1.9836,3.0963,3.8333,1.4557
vp01,1,1.2459,-2.4708,-1.0247,1.2885
vp01,1,3.3711,-0.98148,-0.45364,-0.26717
vp01,1,-4.0538,-2.8622,-1.5975,-0.68948
vp01,3,0.17211,-1.8979,0.90682,-1.5111
vp01,6,3.2389,5.5125,5.6481,1.8299
vp01,6,4.3162,-2.2904,0.87374,3.1432
vp01,8,1.6383,2.5458,7.1233,1.6139
vp01,1,4.9804,0.31736,-0.75311,2.9378
vp01,3,0.82992,-2.1096,-2.279,-3.3419
vp01,1,3.3774,3.1616,-1.1448,1.5554
vp01,7,-0.98814,0.037129,5.4439,1.3459
vp01,5,-4.1681,0.18675,5.1033,-0.58851
vp01,5,-4.4957,-7.2232,-4.6603,-2.9559
vp01,7,-0.47982,-1.954,-1.7023,-0.82008
vp01,8,-3.805,-4.656,-9.4415,2.7708
vp01,7,4.7714,-0.87839,-1.5761,0.57463
vp01,7,-0.044483,0.015211,3.067,0.31907
vp01,5,4.6255,1.6248,1.8246,1.362
vp01,8,3.4148,3.8314,3.9469,0.63568
vp01,1,2.0015,-2.5613,0.35316,0.58426
vp01,7,0.31285,-2.0346,0.37927,-0.81164
vp01,5,5.2596,1.7161,1.4033,1.2576
vp01,7,-1.2309,-0.15405,-1.1752,-0.015024
vp01,4,-0.30017,-0.93369,-0.53989,-0.7314
vp01,5,3.5276,3.6252,-0.15714,0.61165
vp01,3,-0.7946,-1.6635,-4.1393,1.4252
vp01,2,8.412,5.107,5.2999,2.2743
vp01,1,-1.9759,0.79896,2.4768,-0.052987
vp01,2,-1.7302,-1.1287,-2.3211,0.92564
vp01,6,3.7803,-2.7428,0.11546,0.47588
vp01,5,-1.1851,0.71872,-1.5464,-0.18726
vp01,5,-1.6571,4.4037,4.7901,2.2296
vp01,7,-4.09,-1.7577,-3.0952,-2.8633
vp01,3,-1.5859,0.22903,-2.3323,0.4386
vp01,7,1.3299,-1.6284,-0.55278,1.0604
vp01,2,-0.22873,-2.9854,-0.36314,2.3276
vp01,1,2.2795,-3.3239,1.6742,3.157
vp01,5,-2.7482,-2.9992,2.3418,-2.6118
vp01,5,-1.2386,-2.819,-4.3592,-2.6509
vp01,4,-0.76924,-2.1338,-0.12635,-1.3757
vp01,8,-5.6186,-1.7777,-1.1323,-1.5895
vp01,5,1.4004,1.9004,2.7007,0.99857
vp01,1,0.46927,-2.4314,0.15738,4.344
vp01,3,5.6319,9.1612,-2.7944,-0.35053
vp01,7,-4.9785,-4.1702,-5.2678,-2.5294
vp01,4,-0.15001,2.5541,-1.8296,0.41352
vp01,7,1.2432,-2.4413,-1.486,-5.3061
vp01,4,3.9434,5.1332,5.411,-1.2874
vp01,3,2.1865,-1.9163,-1.5219,0.11333
vp01,3,1.324,5.8145,3.8017,1.0088
vp01,2,5.3434,3.8278,2.2225,2.8094
vp01,7,-0.28081,2.0173,-2.4449,1.0284
vp01,3,-3.416,-3.8264,-7.9714,-1.0135
vp01,7,0.45997,4.7985,3.3223,0.30948
vp01,7,2.784,0.17265,-1.6562,0.15642
vp01,3,-2.9892,-1.2638,4.1988,0.90508
vp01,8,-2.5927,0.93511,-0.067919,0.8925
vp01,8,-4.3382,-1.7218,-1.6191,-1.0322
vp01,4,4.703,1.0409,-2.1332,3.4539
vp01,1,3.9218,4.9969,3.8321,0.29067
vp01,3,-0.63405,-2.292,-1.1675,-1.8423
vp01,7,10.864,4.6637,2.4564,5.0062
vp01,7,1.8713,-1.585,-3.0925,-0.93076
vp01,7,0.012365,1.4133,-4.0309,1.8035
vp01,6,2.5338,0.81356,7.4782,1.3057
vp01,2,5.1533,1.5623,4.5685,1.1722
vp01,4,-1.5824,2.0419,5.7115,0.78582
