       value	     chindex	     chlabel	        bini	           binlabel	ERPset
     339.844	          67	         EPN	           1	  negativeLargeDark	vp01
     339.844	          67	         EPN	           2	  negativeSmallDark	vp01
     335.938	          67	         EPN	           3	negativeLargeBright	vp01
     371.094	          67	         EPN	           4	negativeSmallBright	vp01
     316.406	          67	         EPN	           5	   neutralLargeDark	vp01
     312.500	          67	         EPN	           6	   neutralSmallDark	vp01
     375.000	          67	         EPN	           7	 neutralLargeBright	vp01
     285.156	          67	         EPN	           8	 neutralSmallBright	vp01
     335.938	          67	         EPN	           1	  negativeLargeDark	vp02
     378.906	          67	         EPN	           2	  negativeSmallDark	vp02
     375.000	          67	         EPN	           3	negativeLargeBright	vp02
     296.875	          67	         EPN	           4	negativeSmallBright	vp02
     343.750	          67	         EPN	           5	   neutralLargeDark	vp02
     378.906	          67	         EPN	           6	   neutralSmallDark	vp02
     371.094	          67	         EPN	           7	 neutralLargeBright	vp02
     281.250	          67	         EPN	           8	 neutralSmallBright	vp02
     324.219	          67	         EPN	           1	  negativeLargeDark	vp03
     355.469	          67	         EPN	           2	  negativeSmallDark	vp03
     343.750	          67	         EPN	           3	negativeLargeBright	vp03
     371.094	          67	         EPN	           4	negativeSmallBright	vp03
     328.125	          67	         EPN	           5	   neutralLargeDark	vp03
     343.750	          67	         EPN	           6	   neutralSmallDark	vp03
     335.938	          67	         EPN	           7	 neutralLargeBright	vp03
     359.375	          67	         EPN	           8	 neutralSmallBright	vp03
     343.750	          67	         EPN	           1	  negativeLargeDark	vp04
     375.000	          67	         EPN	           2	  negativeSmallDark	vp04
     316.406	          67	         EPN	           3	negativeLargeBright	vp04
     304.688	          67	         EPN	           4	negativeSmallBright	vp04
     347.656	          67	         EPN	           5	   neutralLargeDark	vp04
     371.094	          67	         EPN	           6	   neutralSmallDark	vp04
     289.063	          67	         EPN	           7	 neutralLargeBright	vp04
     343.750	          67	         EPN	           8	 neutralSmallBright	vp04
     304.688	          67	         EPN	           1	  negativeLargeDark	vp05
     316.406	          67	         EPN	           2	  negativeSmallDark	vp05
     332.031	          67	         EPN	           3	negativeLargeBright	vp05
     390.625	          67	         EPN	           4	negativeSmallBright	vp05
     312.500	          67	         EPN	           5	   neutralLargeDark	vp05
     312.500	          67	         EPN	           6	   neutralSmallDark	vp05
     320.313	          67	         EPN	           7	 neutralLargeBright	vp05
     308.594	          67	         EPN	           8	 neutralSmallBright	vp05
