       value	     chindex	     chlabel	        bini	           binlabel	ERPset
       0.675	          68	         LPP	           1	  negativeLargeDark	vp01
       0.653	          68	         LPP	           2	  negativeSmallDark	vp01
       0.086	          68	         LPP	           3	negativeLargeBright	vp01
       0.864	          68	         LPP	           4	negativeSmallBright	vp01
       0.547	          68	         LPP	           5	   neutralLargeDark	vp01
       0.445	          68	         LPP	           6	   neutralSmallDark	vp01
       0.534	          68	         LPP	           7	 neutralLargeBright	vp01
       0.640	          68	         LPP	           8	 neutralSmallBright	vp01
      -0.022	          68	         LPP	           1	  negativeLargeDark	vp02
       0.550	          68	         LPP	           2	  negativeSmallDark	vp02
      -0.240	          68	         LPP	           3	negativeLargeBright	vp02
       0.391	          68	         LPP	           4	negativeSmallBright	vp02
      -0.350	          68	         LPP	           5	   neutralLargeDark	vp02
       0.439	          68	         LPP	           6	   neutralSmallDark	vp02
      -0.053	          68	         LPP	           7	 neutralLargeBright	vp02
       0.336	          68	         LPP	           8	 neutralSmallBright	vp02
       0.900	          68	         LPP	           1	  negativeLargeDark	vp03
       1.116	          68	         LPP	           2	  negativeSmallDark	vp03
       0.796	          68	         LPP	           3	negativeLargeBright	vp03
       1.081	          68	         LPP	           4	negativeSmallBright	vp03
       0.523	          68	         LPP	           5	   neutralLargeDark	vp03
       0.764	          68	         LPP	           6	   neutralSmallDark	vp03
       1.470	          68	         LPP	           7	 neutralLargeBright	vp03
       0.665	          68	         LPP	           8	 neutralSmallBright	vp03
       0.125	          68	         LPP	           1	  negativeLargeDark	vp04
       0.157	          68	         LPP	           2	  negativeSmallDark	vp04
       0.232	          68	         LPP	           3	negativeLargeBright	vp04
      -0.034	          68	         LPP	           4	negativeSmallBright	vp04
       0.368	          68	         LPP	           5	   neutralLargeDark	vp04
       0.066	          68	         LPP	           6	   neutralSmallDark	vp04
       0.256	          68	         LPP	           7	 neutralLargeBright	vp04
       0.413	          68	         LPP	           8	 neutralSmallBright	vp04
       0.990	          68	         LPP	           1	  negativeLargeDark	vp05
       1.138	          68	         LPP	           2	  negativeSmallDark	vp05
       1.049	          68	         LPP	           3	negativeLargeBright	vp05
       1.424	          68	         LPP	           4	negativeSmallBright	vp05
       0.732	          68	         LPP	           5	   neutralLargeDark	vp05
       1.103	          68	         LPP	           6	   neutralSmallDark	vp05
       1.039	          68	         LPP	           7	 neutralLargeBright	vp05
       1.479	          68	         LPP	           8	 neutralSmallBright	vp05
       0.536	          68	         LPP	           1	  negativeLargeDark	vp06
       0.453	          68	         LPP	           2	  negativeSmallDark	vp06
       0.442	          68	         LPP	           3	negativeLargeBright	vp06
       1.363	          68	         LPP	           4	negativeSmallBright	vp06
       0.791	          68	         LPP	           5	   neutralLargeDark	vp06
       0.299	          68	         LPP	           6	   neutralSmallDark	vp06
       0.922	          68	         LPP	           7	 neutralLargeBright	vp06
       0.914	          68	         LPP	           8	 neutralSmallBright	vp06
       0.317	          68	         LPP	           1	  negativeLargeDark	vp07
       0.420	          68	         LPP	           2	  negativeSmallDark	vp07
       0.614	          68	         LPP	           3	negativeLargeBright	vp07
       0.525	          68	         LPP	           4	negativeSmallBright	vp07
       0.439	          68	         LPP	           5	   neutralLargeDark	vp07
       0.370	          68	         LPP	           6	   neutralSmallDark	vp07
       0.044	          68	         LPP	           7	 neutralLargeBright	vp07
       0.252	          68	         LPP	           8	 neutralSmallBright	vp07
       0.269	          68	         LPP	           1	  negativeLargeDark	vp08
       0.013	          68	         LPP	           2	  negativeSmallDark	vp08
      -0.046	          68	         LPP	           3	negativeLargeBright	vp08
       1.095	          68	         LPP	           4	negativeSmallBright	vp08
      -0.525	          68	         LPP	           5	   neutralLargeDark	vp08
      -0.919	          68	         LPP	           6	   neutralSmallDark	vp08
      -0.239	          68	         LPP	           7	 neutralLargeBright	vp08
      -0.042	          68	         LPP	           8	 neutralSmallBright	vp08
       0.506	          68	         LPP	           1	  negativeLargeDark	vp09
       0.753	          68	         LPP	           2	  negativeSmallDark	vp09
       0.618	          68	         LPP	           3	negativeLargeBright	vp09
       1.641	          68	         LPP	           4	negativeSmallBright	vp09
       0.676	          68	         LPP	           5	   neutralLargeDark	vp09
      -0.015	          68	         LPP	           6	   neutralSmallDark	vp09
       0.826	          68	         LPP	           7	 neutralLargeBright	vp09
       1.139	          68	         LPP	           8	 neutralSmallBright	vp09
      -0.285	          68	         LPP	           1	  negativeLargeDark	vp10
       0.682	          68	         LPP	           2	  negativeSmallDark	vp10
      -0.264	          68	         LPP	           3	negativeLargeBright	vp10
       1.261	          68	         LPP	           4	negativeSmallBright	vp10
       0.207	          68	         LPP	           5	   neutralLargeDark	vp10
       0.289	          68	         LPP	           6	   neutralSmallDark	vp10
      -0.153	          68	         LPP	           7	 neutralLargeBright	vp10
       0.701	          68	         LPP	           8	 neutralSmallBright	vp10
       0.732	          68	         LPP	           1	  negativeLargeDark	vp11
       0.354	          68	         LPP	           2	  negativeSmallDark	vp11
       0.473	          68	         LPP	           3	negativeLargeBright	vp11
       0.568	          68	         LPP	           4	negativeSmallBright	vp11
       0.601	          68	         LPP	           5	   neutralLargeDark	vp11
       0.530	          68	         LPP	           6	   neutralSmallDark	vp11
       0.565	          68	         LPP	           7	 neutralLargeBright	vp11
       0.550	          68	         LPP	           8	 neutralSmallBright	vp11
       0.202	          68	         LPP	           1	  negativeLargeDark	vp12
       0.328	          68	         LPP	           2	  negativeSmallDark	vp12
       0.508	          68	         LPP	           3	negativeLargeBright	vp12
       1.116	          68	         LPP	           4	negativeSmallBright	vp12
       0.354	          68	         LPP	           5	   neutralLargeDark	vp12
       0.335	          68	         LPP	           6	   neutralSmallDark	vp12
       0.132	          68	         LPP	           7	 neutralLargeBright	vp12
       0.337	          68	         LPP	           8	 neutralSmallBright	vp12
       0.305	          68	         LPP	           1	  negativeLargeDark	vp13
       0.290	          68	         LPP	           2	  negativeSmallDark	vp13
       0.428	          68	         LPP	           3	negativeLargeBright	vp13
      -0.091	          68	         LPP	           4	negativeSmallBright	vp13
       0.382	          68	         LPP	           5	   neutralLargeDark	vp13
       0.392	          68	         LPP	           6	   neutralSmallDark	vp13
       0.872	          68	         LPP	           7	 neutralLargeBright	vp13
      -0.806	          68	         LPP	           8	 neutralSmallBright	vp13
       1.021	          68	         LPP	           1	  negativeLargeDark	vp14
       0.922	          68	         LPP	           2	  negativeSmallDark	vp14
       0.770	          68	         LPP	           3	negativeLargeBright	vp14
       1.524	          68	         LPP	           4	negativeSmallBright	vp14
       0.776	          68	         LPP	           5	   neutralLargeDark	vp14
       0.872	          68	         LPP	           6	   neutralSmallDark	vp14
       1.251	          68	         LPP	           7	 neutralLargeBright	vp14
       1.574	          68	         LPP	           8	 neutralSmallBright	vp14
       0.872	          68	         LPP	           1	  negativeLargeDark	vp15
       0.692	          68	         LPP	           2	  negativeSmallDark	vp15
