       value	     chindex	     chlabel	        bini	           binlabel	ERPset
     136.719	          65	          P1	           1	  negativeLargeDark	vp01
     128.906	          65	          P1	           2	  negativeSmallDark	vp01
     132.813	          65	          P1	           3	negativeLargeBright	vp01
     144.531	          65	          P1	           4	negativeSmallBright	vp01
     132.813	          65	          P1	           5	   neutralLargeDark	vp01
     121.094	          65	          P1	           6	   neutralSmallDark	vp01
     140.625	          65	          P1	           7	 neutralLargeBright	vp01
     136.719	          65	          P1	           8	 neutralSmallBright	vp01
     101.563	          65	          P1	           1	  negativeLargeDark	vp02
     113.281	          65	          P1	           2	  negativeSmallDark	vp02
     128.906	          65	          P1	           3	negativeLargeBright	vp02
     128.906	          65	          P1	           4	negativeSmallBright	vp02
     101.563	          65	          P1	           5	   neutralLargeDark	vp02
     113.281	          65	          P1	           6	   neutralSmallDark	vp02
     125.000	          65	          P1	           7	 neutralLargeBright	vp02
     128.906	          65	          P1	           8	 neutralSmallBright	vp02
     105.469	          65	          P1	           1	  negativeLargeDark	vp03
     109.375	          65	          P1	           2	  negativeSmallDark	vp03
     132.813	          65	          P1	           3	negativeLargeBright	vp03
     136.719	          65	          P1	           4	negativeSmallBright	vp03
     101.563	          65	          P1	           5	   neutralLargeDark	vp03
     109.375	          65	          P1	           6	   neutralSmallDark	vp03
     136.719	          65	          P1	           7	 neutralLargeBright	vp03
     140.625	          65	          P1	           8	 neutralSmallBright	vp03
      89.844	          65	          P1	           1	  negativeLargeDark	vp04
     105.469	          65	          P1	           2	  negativeSmallDark	vp04
     136.719	          65	          P1	           3	negativeLargeBright	vp04
      82.031	          65	          P1	           4	negativeSmallBright	vp04
      93.750	          65	          P1	           5	   neutralLargeDark	vp04
     101.563	          65	          P1	           6	   neutralSmallDark	vp04
     125.000	          65	          P1	           7	 neutralLargeBright	vp04
      66.406	          65	          P1	           8	 neutralSmallBright	vp04
      89.844	          65	          P1	           1	  negativeLargeDark	vp05
     109.375	          65	          P1	           2	  negativeSmallDark	vp05
     125.000	          65	          P1	           3	negativeLargeBright	vp05
     148.438	          65	          P1	           4	negativeSmallBright	vp05
      89.844	          65	          P1	           5	   neutralLargeDark	vp05
     109.375	          65	          P1	           6	   neutralSmallDark	vp05
     121.094	          65	          P1	           7	 neutralLargeBright	vp05
     140.625	          65	          P1	           8	 neutralSmallBright	vp05
     109.375	          65	          P1	           1	  negativeLargeDark	vp06
     113.281	          65	          P1	           2	  negativeSmallDark	vp06
     132.813	          65	          P1	           3	negativeLargeBright	vp06
     144.531	          65	          P1	           4	negativeSmallBright	vp06
     109.375	          65	          P1	           5	   neutralLargeDark	vp06
     128.906	          65	          P1	           6	   neutralSmallDark	vp06
     132.813	          65	          P1	           7	 neutralLargeBright	vp06
     144.531	          65	          P1	           8	 neutralSmallBright	vp06
