participant,bin,P1,N1,EPN,LPP
pilot10,6,2.9155,-0.39519,1.6265,-0.14063
pilot10,1,1.6466,-1.9945,-2.1526,1.6886
pilot10,5,3.7804,-4.0568,0.040812,2.9386
pilot10,2,1.8273,-0.073044,-0.84237,7.344
pilot10,2,2.0744,-9.2921,-0.61963,-1.4315
pilot10,7,4.3658,-8.5337,-6.9085,2.1614
pilot10,3,-1.5338,-6.6626,-2.5016,7.9651
pilot10,2,6.6936,-0.43844,3.119,-1.1982
pilot10,1,-0.14987,-7.1703,-5.7174,-1.4179
pilot10,8,-0.92011,-5.6227,3.3414,-1.5864
pilot10,2,4.4111,-6.1724,-7.3676,-3.3266
pilot10,8,0.1991,1.7592,6.3828,1.1356
pilot10,1,-0.83704,-4.2444,-1.7056,-1.6814
pilot10,3,-3.7835,-7.87,-4.9742,-1.3359
pilot10,6,4.3897,-3.6708,2.4088,-0.53742
pilot10,7,0.84877,-5.0437,-0.20692,-0.79171
pilot10,6,2.0747,-1.9564,2.9974,2.0753
pilot10,7,4.0564,-9.1515,-6.9002,-0.67658
pilot10,8,1.3895,-5.2462,-1.001,-0.80976
pilot10,2,2.9645,-0.54612,5.268,2.168
pilot10,7,7.6754,1.6515,-1.1378,-0.39637
pilot10,8,-4.1513,-4.0989,-10.3942,0.71503
pilot10,8,-2.1104,1.9623,-3.5792,2.7675
pilot10,3,1.6492,-4.4237,-4.2689,0.89789
pilot10,2,1.4781,-3.4828,-2.1058,0.15157
pilot10,7,5.8338,-2.6261,4.2471,-0.66075
pilot10,5,0.46804,-3.8648,-1.7595,-1.0042
pilot10,5,5.6781,-3.2795,-4.1582,1.0062
pilot10,8,-3.1209,-7.2154,-2.349,2.1715
pilot10,5,2.9433,-0.8766,1.1433,1.2362
pilot10,6,5.7272,-6.2146,-0.3107,3.5685
pilot10,6,-4.4402,-10.8971,-11.5163,3.7186
pilot10,1,2.0783,-9.9354,-1.6841,-2.0009
pilot10,5,1.7346,-6.227,-7.603,4.2374
pilot10,5,3.6398,1.1683,1.6286,-2.7342
pilot10,3,1.9738,-6.3662,-3.9137,-3.2832
pilot10,6,2.4049,-6.4677,4.4187,-0.53444
pilot10,6,3.0369,-0.34216,-4.1786,0.75098
