ssj,word,size,cont,resp,RT
vp01,bruin,large,bright,hit,667
vp01,groen,large,bright,hit,541
vp01,bruin,large,bright,hit,561
vp01,geel,large,bright,hit,591
vp01,oranje,large,bright,hit,638
vp01,turkoois,large,bright,hit,723
vp01,geel,large,bright,hit,573
vp01,rood,large,bright,hit,811
vp01,zwart,large,bright,hit,721
vp01,rood,large,bright,hit,596
vp01,wit,large,bright,hit,661
vp01,blauw,large,bright,hit,941
vp01,blauw,large,bright,hit,594
vp01,wit,large,bright,hit,611
vp01,purper,large,bright,hit,719
vp01,zwart,large,bright,hit,546
vp01,turkoois,large,bright,hit,583
vp01,groen,large,bright,hit,525
vp01,purper,large,bright,hit,732
vp01,oranje,large,bright,miss,
vp01,rood,small,bright,hit,634
vp01,geel,small,bright,hit,628
vp01,groen,small,bright,hit,659
vp01,geel,small,bright,hit,669
vp01,oranje,small,bright,hit,616
vp01,blauw,small,bright,hit,641
vp01,turkoois,small,bright,hit,857
vp01,zwart,small,bright,hit,712
vp01,turkoois,small,bright,hit,620
vp01,zwart,small,bright,hit,653
vp01,rood,small,bright,hit,691
vp01,purper,small,bright,hit,727
vp01,wit,small,bright,hit,561
vp01,oranje,small,bright,hit,630
vp01,bruin,small,bright,hit,559
vp01,blauw,small,bright,hit,687
vp01,groen,small,bright,hit,771
vp01,purper,small,bright,miss,
vp01,bruin,small,bright,miss,
vp01,wit,small,bright,miss,
vp01,wit,large,dark,hit,639
vp01,purper,large,dark,hit,834
vp01,zwart,large,dark,hit,667
vp01,geel,large,dark,hit,667
vp01,turkoois,large,dark,hit,785
vp01,turkoois,large,dark,hit,597
vp01,groen,large,dark,hit,575
vp01,rood,large,dark,hit,605
vp01,oranje,large,dark,hit,802
vp01,zwart,large,dark,hit,584
vp01,blauw,large,dark,hit,541
vp01,wit,large,dark,hit,863
vp01,groen,large,dark,hit,575
vp01,rood,large,dark,hit,557
vp01,purper,large,dark,hit,568
vp01,bruin,large,dark,hit,526
vp01,oranje,large,dark,hit,499
vp01,geel,large,dark,hit,534
vp01,blauw,large,dark,hit,534
vp01,bruin,large,dark,hit,569
vp01,rood,small,dark,hit,494
vp01,rood,small,dark,hit,596
vp01,purper,small,dark,hit,665
vp01,wit,small,dark,hit,603
vp01,zwart,small,dark,hit,606
vp01,bruin,small,dark,hit,646
vp01,purper,small,dark,hit,616
vp01,geel,small,dark,hit,661
vp01,wit,small,dark,hit,615
vp01,oranje,small,dark,hit,562
vp01,oranje,small,dark,hit,547
vp01,blauw,small,dark,hit,572
vp01,blauw,small,dark,hit,737
vp01,geel,small,dark,hit,492
vp01,turkoois,small,dark,hit,579
vp01,groen,small,dark,hit,547
vp01,groen,small,dark,hit,534
vp01,bruin,small,dark,hit,551
vp01,zwart,small,dark,hit,527
vp01,turkoois,small,dark,miss,
vp02,groen,large,bright,hit,493
vp02,turkoois,large,bright,hit,700
vp02,oranje,large,bright,hit,613
vp02,geel,large,bright,hit,630
vp02,purper,large,bright,hit,694
vp02,geel,large,bright,hit,571
vp02,wit,large,bright,hit,706
vp02,bruin,large,bright,hit,551
vp02,zwart,large,bright,hit,663
vp02,zwart,large,bright,hit,578
vp02,oranje,large,bright,hit,544
vp02,groen,large,bright,hit,552
vp02,blauw,large,bright,hit,870
vp02,purper,large,bright,hit,685
vp02,blauw,large,bright,hit,529
vp02,bruin,large,bright,hit,641
vp02,turkoois,large,bright,hit,638
vp02,wit,large,bright,hit,542
vp02,rood,large,bright,hit,630
vp02,rood,large,bright,hit,536
vp02,wit,small,bright,hit,688
vp02,purper,small,bright,hit,779
vp02,zwart,small,bright,hit,689
vp02,blauw,small,bright,hit,540
vp02,groen,small,bright,hit,494
vp02,rood,small,bright,hit,513
vp02,purper,small,bright,hit,607
vp02,wit,small,bright,hit,636
vp02,oranje,small,bright,hit,775
